TIME,NATIVE_CPU,JAR_CPU,NATIVE_MEM,JAR_MEM
1 ,0,1,123.75,235.984375
2 ,0,0,123.75,235.984375
3 ,0,0,123.75,235.984375
4 ,0,0,123.75,235.984375
5 ,0,1,123.75,235.984375
6 ,0,0,123.75,235.984375
7 ,0,0,123.75,235.984375
8 ,566.1,126.8,225.7109375,421.0429688
9 ,760,1517.2,338.0546875,656.6679688
10 ,957,1432,501.4921875,792.8046875
11 ,967.8,1339.4,586.9609375,886.8671875
12 ,1006.7,1201.4,654.3046875,1007.804688
13 ,971.7,995.7,716.6484375,1014.492188
14 ,964.7,782,779.7734375,1042.546875
15 ,965.7,698,839.9296875,1042.703125
16 ,946.7,685.1,924.3046875,1042.703125
17 ,986.7,676.2,976.6484375,1042.703125
18 ,956.6,687,1053.210938,1042.703125
19 ,945.9,687,1114.460938,1042.703125
20 ,970.7,683.3,1197.273438,1042.703125
21 ,954.7,687,1256.179688,994.1679688
22 ,1000.7,685,1218.613281,994.1679688
23 ,975.5,681.8,1175.902344,994.3242188
24 ,964.6,692.1,1099.535156,1054.480469
25 ,947,697.1,1055.1875,1068.230469
26 ,965.7,687.7,1017.25,1031.546875
27 ,933.8,690.1,968.671875,1031.703125
28 ,947.8,684.1,920.0273438,1031.703125
29 ,966.7,688.2,845.1875,1031.703125
30 ,1004.6,682.1,799.8359375,1031.703125
31 ,962.7,690,738.8710938,1032.171875
32 ,946.7,680.1,667.1484375,1007.738281
33 ,987.6,707,620.4101563,1034.613281
34 ,832.8,691,555.953125,995.4296875
35 ,1,620,555.953125,995.5859375
36 ,0,7,555.953125,1056.523438
37 ,0,1,555.953125,995.8203125
38 ,0,0,555.953125,995.8203125
39 ,0,1,555.953125,995.8203125
40 ,0,1,555.953125,995.8203125
41 ,0,0,555.953125,995.9765625
42 ,0,204.6,555.953125,1104.257813
43 ,0,685,555.953125,1104.414063
